set,itemId,category,year,make,model,partNumber,outcome,base_status,final_status,errorIds,vcdbResolved,modelMatched,trimMatched,engineMatched,pairs,listingHasAces
"main","v1|318400964073|0","Auto Performance Parts","2021","Nissan","Rogue","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","8","true"
"main","v1|256868839122|0","Exterior Parts & Accessories","2019","Subaru","Impreza","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","12","true"
"main","v1|298494147209|0","Exterior Parts & Accessories","2019","Subaru","Impreza","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","12","true"
"main","v1|192085969210|0","Exterior Parts & Accessories","2018","Chevrolet","Silverado","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|336634152203|0","Exterior Parts & Accessories","2018","Chevrolet","Silverado","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|357786517677|0","Exterior Parts & Accessories","2020","Kia","Forte","","NOT_COMPATIBLE","UNDETERMINED","NOT_COMPATIBLE","","true","true","true","true","24","true"
"main","v1|298065814529|0","Exterior Parts & Accessories","2020","Kia","Forte","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|146630857051|0","Interior Parts & Accessories","2019","Jeep","Grand","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|117233006700|0","Interior Parts & Accessories","2019","Jeep","Grand","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|147144977922|0","Exterior Parts & Accessories","2024","Chevrolet","Silverado","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|366136729386|0","Exterior Parts & Accessories","2024","Chevrolet","Silverado","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|134133948833|0","Transmission & Drivetrain","2019","Subaru","Impreza","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","12","true"
"main","v1|397432756327|0","Transmission & Drivetrain","2019","Subaru","Impreza","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","12","true"
"main","v1|396438368914|0","Exhaust & Emission Systems","2014","Toyota","RAV4","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","6","true"
"main","v1|396438368694|0","Exhaust & Emission Systems","2014","Toyota","RAV4","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","6","true"
"main","v1|177498115405|0","Engine Cooling Components","2018","Kia","Soul","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","15","true"
"main","v1|365663984447|0","Engine Cooling Components","2018","Kia","Soul","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","15","true"
"main","v1|277944622796|0","Advanced Driver Assistance Systems","2025","Genesis","GV70","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|376952961852|0","Advanced Driver Assistance Systems","2025","Genesis","GV70","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|406865717652|0","Lighting & Lamps","2023","Tesla","Model Y","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|358573404026|0","Lighting & Lamps","2023","Tesla","Model Y","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|358425899193|0","Exterior Parts & Accessories","2019","Jeep","Grand","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|137489917703|0","Exterior Parts & Accessories","2019","Jeep","Grand","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|225691597175|0","Exterior Parts & Accessories","2019","Jeep","Grand","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|366532710006|0","Sunglasses & Sunglasses Accessories","2020","Chevrolet","Trax","","ERROR","ERR_404","ERR_404","11001","false","false","false","false","0","false"
"main","v1|206399288668|0","Sunglasses & Sunglasses Accessories","2020","Chevrolet","Trax","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|373158146214|0","Guards & Protection","2024","GMC","Sierra","","ERROR","ERR_400","ERR_400","11507","false","false","false","false","0","false"
"main","v1|125764215269|0","Exterior Parts & Accessories","2024","GMC","Sierra","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|146596660578|0","Advanced Driver Assistance Systems","2020","Honda","CR-V","","ERROR","ERR_500","ERR_500","11000","false","false","false","false","0","false"
"main","v1|398012569172|0","Advanced Driver Assistance Systems","2020","Honda","CR-V","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","4","true"
"main","v1|307021313027|0","Exterior Parts & Accessories","2018","Chevrolet","Silverado","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|127302250290|0","Exterior Parts & Accessories","2018","Chevrolet","Silverado","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|117279230494|0","Interior Parts & Accessories","2017","Ram","1500","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|117279230666|0","Interior Parts & Accessories","2017","Ram","1500","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|252324361811|0","Rifle Parts","2021","Ford","Transit","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|267600537774|0","Other Fittings & Adapters","2021","Ford","Transit","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|376808182508|0","Exterior Parts & Accessories","2021","BMW","X1","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","8","true"
"main","v1|389467231752|0","Exterior Parts & Accessories","2021","BMW","X1","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","8","true"
"main","v1|267589804891|0","Exterior Parts & Accessories","2020","Ford","F-150","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","35","true"
"main","v1|236168775095|0","Exterior Parts & Accessories","2020","Ford","F-150","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","35","true"
"main","v1|366470176793|0","Exterior Parts & Accessories","2023","Tesla","Model 3","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|177876538647|0","Exterior Parts & Accessories","2023","Tesla","Model 3","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|236407271399|0","Lighting & Lamps","2020","Kia","Forte","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|377234003025|0","Lighting & Lamps","2020","Kia","Forte","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","24","true"
"main","v1|354069251933|0","Other Car & Truck Parts & Accessories","2020","Ford","F-150","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|366051312001|0","Exterior Parts & Accessories","2020","Ford","F-150","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","35","true"
"main","v1|278167106531|0","Exterior Parts & Accessories","2016","Toyota","Camry","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","6","true"
"main","v1|388833054277|0","Exterior Parts & Accessories","2016","Toyota","Camry","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","6","true"
"main","v1|206389694065|0","Molding & Millwork","2021","Honda","CR-V","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|398147681725|0","Chickens","2021","Honda","CR-V","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|158026580081|0","Exterior Parts & Accessories","2025","Honda","Civic","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","12","true"
"main","v1|287411668948|0","Exterior Parts & Accessories","2025","Honda","Civic","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","12","true"
"main","v1|233624990155|0","Exterior Parts & Accessories","2019","Chevrolet","Traverse","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","8","true"
"main","v1|366510569899|0","Exterior Parts & Accessories","2019","Chevrolet","Traverse","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","8","true"
"main","v1|398105573238|0","Molding & Millwork","2015","Toyota","RAV4","","ERROR","ERR_404","ERR_404","11001","false","false","false","false","0","false"
"main","v1|389903985960|0","Molding & Millwork","2015","Toyota","RAV4","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|158030723834|0","Exterior Parts & Accessories","2017","Chevrolet","Malibu","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|168476542667|0","Exterior Parts & Accessories","2017","Chevrolet","Malibu","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|366331682003|0","Exterior Parts & Accessories","2025","Nissan","Sentra","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","6","true"
"main","v1|397134584417|665559569532","Exterior Parts & Accessories","2025","Nissan","Sentra","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","6","true"
"main","v1|233662964416|0","Exterior Parts & Accessories","2020","Honda","Civic","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","30","true"
"main","v1|256248044395|0","Exterior Parts & Accessories","2020","Honda","Civic","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","30","true"
"main","v1|287443458166|0","Lighting & Lamps","2023","Tesla","Model Y","","NOT_COMPATIBLE","NOT_COMPATIBLE","NOT_COMPATIBLE","","false","false","false","false","0","true"
"main","v1|227225278479|0","Lighting & Lamps","2023","Tesla","Model Y","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|357669644145|0","Exterior Parts & Accessories","2010","Honda","Accord","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|296862879507|0","Exterior Parts & Accessories","2010","Honda","Accord","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","21","true"
"main","v1|404873896071|0","Lighting & Lamps","2018","Mazda","CX-3","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|404873881449|0","Lighting & Lamps","2018","Mazda","CX-3","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|364234353124|0","Steering & Suspension","2017","Kia","Sportage","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","15","true"
"main","v1|267720552535|0","Steering & Suspension","2017","Kia","Sportage","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","15","true"
"main","v1|127850193426|0","Exterior Parts & Accessories","2025","Honda","Civic","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|267722863827|0","Engine Cooling Components","2021","Chevrolet","Equinox","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","4","true"
"main","v1|178265649339|0","Engine Cooling Components","2021","Chevrolet","Equinox","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","4","true"
"main","v1|375868432030|0","Exterior Parts & Accessories","2024","Kia","K5","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","8","true"
"main","v1|137465696965|0","Exterior Parts & Accessories","2024","Kia","K5","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","8","true"
"main","v1|176843092877|0","Exterior Parts & Accessories","2021","Toyota","Corolla","","UND_LISTING_NO_ACES","ERR_400","ERR_400","11505","false","false","false","false","0","false"
"main","v1|135134184959|0","Exterior Parts & Accessories","2021","Toyota","Corolla","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","21","true"
"main","v1|800060527106|0","Towing Parts & Accessories","2017","Mazda","3","","COMPATIBLE","UNDETERMINED","COMPATIBLE","","true","true","true","true","16","true"
