itemId,year,make,model,source,compat_verdict,would_filter,detail,title
"v1|256868839122|0","2019","Subaru","Impreza","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","Front Bumper Lower Grille Grill Fit For 2017-2019 Subaru Impreza 57731FL30A"
"v1|336634152203|0","2018","Chevrolet","Silverado","EXACT_MPN_MATCH","NOT_COMPATIBLE","true","aligned_not","OEM NEW Hood Allison Transmission Duramax Emblem 15-20 Sierra Silverado 84690480"
"v1|357786517677|0","2020","Kia","Forte","EXACT_MPN_MATCH","NOT_COMPATIBLE","true","aligned_not","2020-2021 KIA FORTE REAR BUMPER LOWER COVER NEW OEM 86612 M7200"
"v1|277944622796|0","2025","Genesis","GV70","EXACT_MPN_MATCH","UNDETERMINED","false","listing_no_aces","Genuine 2022-2025 Hyundai Genesis Parking Ultrasonic Sensor (99310-AR000-CA)"
"v1|406865717652|0","2023","Tesla","Model Y","EXACT_MPN_MATCH","UNDETERMINED","false","our_vcdb_unresolved","20 Pcs Rear Lamp Grommet With Seal For Tesla Model 3 2017-25 Highland Y 2020-25"
"v1|358425899193|0","2019","Jeep","Grand","EXACT_MPN_MATCH","UNDETERMINED","false","listing_no_aces","Genuine Mopar Lift-Gate Nameplate 68236144AB"
"v1|125764215269|0","2024","GMC","Sierra","EXACT_MPN_MATCH","NOT_COMPATIBLE","true","aligned_not","963-210D Dorman Set of 2 Retainers Front or Rear Driver Passenger Side Pair"
"v1|146596660578|0","2020","Honda","CR-V","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","1Pcs Cruise Control Distance Radar Sensor Fits 2020-2022 Honda CR-V 36801TNYA03"
"v1|267600537774|0","2021","Ford","Transit","EXACT_MPN_MATCH","UNDETERMINED","false","listing_no_aces","Auveco - 25113 - Automobile/Automotive Rocker Moulding Clip (15 Pieces)"
"v1|376808182508|0","2021","BMW","X1","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","16 BMW X1 F48 Xdrive 28i #1317 Door Shell, Rear Right Brown Metallic 41007461352"
"v1|365841007223|0","2018","Mazda","CX-3","EXACT_MPN_MATCH","NOT_COMPATIBLE","true","aligned_not","For Mazda CX-5 2017 2018-19-2020 2021 LED Clear Fog Lights Left+Right Pair"
"v1|176843092877|0","2021","Toyota","Corolla","EXACT_MPN_MATCH","UNDETERMINED","false","listing_no_aces","40 Front Bumper Fender Liner Fastening Clips 53879-02150 for Corolla Camry 18-21"
"v1|332610574706|0","2008","Scion","xD","EXACT_MPN_MATCH","UNDETERMINED","false","listing_no_aces","52405-52010 Toyota Guard sub-assy, rear bumper 5240552010, New Genuine OEM Part"
"v1|377233995113|0","2023","Dodge","Hornet","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","For Dodge Hornet 2023-2025 Dodge 7MS80TZZAA Front Left Door Mirror Cover"
"v1|206305489589|0","2023","Hyundai","Elantra","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","HYUNDAI OEM 10-25 Elantra GT Brake Components-Brake Hose Gasket 587971R000"
"v1|297961286620|0","2018","Lexus","NX","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","2015-21 LEXUS NX200T NX300H NX300 LIFTGATE BACK DOOR LOWER TRIM COVER PANEL OEM"
"v1|206335614725|0","2019","Mercedes-Benz","C-Class","EXACT_MPN_MATCH","UNDETERMINED","false","our_vcdb_unresolved","2017 - 2023 MERCEDES C300 C205 FRONT BUMPER RIGHT UPPER GRILLE OEM A2058881560"
"v1|277752416302|0","2021","Chrysler","Pacifica","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","CHRYSLER OEM 17-23 Pacifica,Voyager Lift Gate Spoiler-Spoiler Seal 5182683AA"
"v1|286845159668|0","2025","Volkswagen","Jetta","EXACT_MPN_MATCH","NOT_COMPATIBLE","true","aligned_not","Front Driver Side Plastic Bumper Cover Retainer for Volkswagen Jetta 2022-2024"
"v1|205729598056|0","2020","Audi","A4","EXACT_MPN_MATCH","UNDETERMINED","false","listing_no_aces","Audi A4 B9 Front Right Fender Trim 8W0820582C"
"v1|227319409630|0","2021","Nissan","Rogue","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","2021-2023 Nissan Rogue Rear Outer Right Parking Sensor Cover NEW 285336RA0B OEM"
"v1|145692717936|0","2011","Volvo","XC60","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","Pack of 1 Hood Latch Release Cable For Volvo XC60 2010-2016 No.31297545 "
"v1|175846346556|0","2014","Infiniti","Q50","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","CAPA For 2013-2020 Pathfinder Bumper Reflector Rear, Left Red Plastic NI1184101C"
"v1|357555304492|0","2022","Acura","MDX","EXACT_MPN_MATCH","NOT_COMPATIBLE","true","aligned_not","Honda OEM Stabilizer Link Nut 90395-SNA-003"
"v1|267467295924|0","2019","Ram","1500","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","6101678 Mopar OEM Front Bumper Mounting Nut set of 4"
"v1|137183454858|0","2014","Cadillac","ATS","EXACT_MPN_MATCH","UNDETERMINED","false","listing_no_aces","2013-2014 CADILLAC ATS FRONT RADIATOR GRILL OEM"
"v1|306859847857|0","2017","Buick","Envision","MPN_FOUND_IN_TITLE_TOKEN","UNDETERMINED","false","listing_no_aces","Hanky Panky Honeycomb Boyshorts Women's Size Small L25127"
"v1|298494147209|0","2019","Subaru","Impreza","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","Front Bumper Lower Grille Grill Fit For 17-19 Subaru Impreza 57731FL30A"
"v1|203443336747|0","2018","Chevrolet","Silverado","EXACT_MPN_MATCH","NOT_COMPATIBLE","true","aligned_not","OEM NEW 15-19 Sierra Silverado Hood Allison Transmission Duramax Emblem 84690480"
"v1|306680736284|0","2020","Kia","Forte","EXACT_MPN_MATCH","NOT_COMPATIBLE","true","aligned_not","Genuine Kia OE 86612-M7200 86612-M7200"
"v1|376952961852|0","2025","Genesis","GV70","EXACT_MPN_MATCH","UNDETERMINED","false","listing_no_aces","GENUINE OEM P.A.S Ultrasonic Sensor 99310-AR000CA for 22-25 Hyundai Genesis"
"v1|358573404026|0","2023","Tesla","Model Y","EXACT_MPN_MATCH","UNDETERMINED","false","our_vcdb_unresolved","20 Pcs Rear Lamp Grommet With Seal For Tesla Model 3 2017-25 Highland Y 2020-25"
"v1|137489917703|0","2019","Jeep","Grand","EXACT_MPN_MATCH","UNDETERMINED","false","listing_no_aces","Genuine Mopar Lift-Gate Nameplate 68236144AB"
"v1|134444327118|0","2024","GMC","Sierra","EXACT_MPN_MATCH","NOT_COMPATIBLE","true","aligned_not","963-210D Dorman Set of 2 Retainers Front or Rear Driver Passenger Side Pair"
"v1|398012569172|0","2020","Honda","CR-V","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","Cruise Control Distance Sensor Fits 2020-2022 Honda CR-V 1.5L L4 Gas 36801TNYA03"
"v1|267589804891|0","2020","Ford","F-150","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","FORD OEM 15-16 F-150 Rear Fender Panel-Bed-Panel Extension Right FL3Z9900374A"
"v1|389467231752|0","2021","BMW","X1","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","16–22 BMW X1 F48 Right Rear Door Assembly Passenger Side Gray B39 OEM"
"v1|134200482510|0","2018","Mazda","CX-3","EXACT_MPN_MATCH","NOT_COMPATIBLE","true","aligned_not","Left Fog Light Driver Side Fits 2017-2018 Mazda 3 2017 6 MA2592128"
"v1|135134184959|0","2021","Toyota","Corolla","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","5 Pair Front Bumper Fender Liner Fastening Clips For Corolla For Camry 2018-2021"
"v1|233358023265|0","2008","Scion","xD","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","Genuine OEM Toyota Lexus 17408-46020 Chrome Exhaust Tip Tail Pipe Extension"
"v1|298293087995|0","2019","Dodge","Durango","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","New Premium Fit Front Center Bumper Cover Molding 68377772AA"
"v1|198414104660|0","2023","Hyundai","Elantra","EXACT_MPN_MATCH","NOT_COMPATIBLE","true","aligned_not","Genuine Hyundai 2022-2023 Elantra N Blank Cover 86561-IB000-NC5"
"v1|306354086331|0","2018","Lexus","NX","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","15-21 LEXUS NX200T NX300H TAILGATE LIFTGATE BACK DOOR LOWER TRIM COVER PANEL OEM"
"v1|353222568723|0","2019","Mercedes-Benz","C-Class","EXACT_MPN_MATCH","UNDETERMINED","false","our_vcdb_unresolved","NEW MERCEDES-BENZ C-CLASS W205 FRONT RIGHT GRILLE A2058882060 OEM NO🇺🇸DUTIES"
"v1|286469869638|0","2021","Chrysler","Pacifica","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","CHRYSLER OEM 17-23 Pacifica,Voyager Lift Gate Spoiler-Spoiler Seal 5182683AA"
"v1|167769619959|0","2025","Volkswagen","Jetta","EXACT_MPN_MATCH","NOT_COMPATIBLE","true","aligned_not","Plastic Bumper Cover Retainer for Volkswagen Jetta 2022-2024 Front Driver Left"
"v1|256017963886|0","2020","Audi","A4","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","GENUINE New Front fender trim cover Right Audi A4 B9 2016- 8W0820581C"
"v1|377246852985|0","2021","Nissan","Rogue","EXACT_MPN_MATCH","COMPATIBLE","false","aligned_compat","For Nissan Rogue 21-23 Nissan Rear Right Outer Parking Aid Sensor Housing"
