ebay_id,ebay_name,ebay_path
6778,Oil Pumps & Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Oil Pumps & Parts
6781,Additional Glass & Window Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Glass & Window Parts|Additional Glass & Window Parts
9886,Other Car & Truck Parts & Accessories,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Other Car & Truck Parts & Accessories
9887,Other Interior Parts & Accessories,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Other Interior Parts & Accessories
14769,Other Exterior Parts & Accessories,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Other Exterior Parts & Accessories
33543,A/C Compressors & Clutches,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air Conditioning & Heating|A/C Compressors & Clutches
33544,A/C Hoses & Fittings,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air Conditioning & Heating|A/C Hoses & Fittings
33545,HVAC Controls & Control Units,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air Conditioning & Heating|HVAC Controls & Control Units
33546,HVAC Blower Motors & Wheels,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air Conditioning & Heating|Blowers & Fans|HVAC Blower Motors & Wheels
33547,A/C Evaporators,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air Conditioning & Heating|A/C Evaporators
33550,Carburetors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Carburetors
33551,Carburetor Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Carburetor Parts
33553,Additional Fuel Injection Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Fuel Injection Parts|Additional Fuel Injection Parts
33554,Fuel Injectors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Fuel Injection Parts|Fuel Injectors
33555,Fuel Pumps & Sending Units,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Fuel Pumps & Sending Units
33556,Fuel Tanks & Filler Necks,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Fuel Tanks & Filler Necks
33557,Air Intake & Fuel Sensors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Air Intake & Fuel Sensors
33558,Throttle Bodies,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Throttle Bodies
33560,Additional ABS Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Additional ABS Parts
33561,"Brake Hoses, Lines & Fittings","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Brake Hoses, Lines & Fittings"
33563,Calipers & Brackets,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Calipers & Brackets
33564,Brake Disc Rotors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Brake Disc Rotors
33565,Brake Drums,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Brake Drums
33566,Master Cylinders,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Master Cylinders
33568,Brake Cables,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Brake Cables
33570,Trailer Brake Controllers,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Towing Parts & Accessories|Trailer Brake Controllers
33571,Wheel Cylinders,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Wheel Cylinders
33575,Battery Accessories,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Starters, Alternators, ECUs & Wiring|Battery Accessories"
33577,Voltage Regulators,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Starters, Alternators, ECUs & Wiring|Voltage Regulators"
33578,"Other Starters, Alternators, ECUs & Wiring","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Starters, Alternators, ECUs & Wiring|Other Starters, Alternators, ECUs & Wiring"
33580,"Control Arms, Ball Joints & Assemblies","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Steering & Suspension|Control Arms, Ball Joints & Assemblies"
33581,Camber & Caster Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Steering & Suspension|Camber & Caster Parts
33582,Leaf & Coil Springs,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Steering & Suspension|Leaf & Coil Springs
33587,Pitman & Idler Arms,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Steering & Suspension|Pitman & Idler Arms
33588,Power Steering Pumps,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Steering & Suspension|Power Steering Pumps
33589,"Gearboxes, Rack & Pinions","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Steering & Suspension|Gearboxes, Rack & Pinions"
33590,"Shocks, Struts & Assemblies","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Steering & Suspension|Shocks, Struts & Assemblies"
33592,"Sway Bars, Links & Bushings","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Steering & Suspension|Sway Bars, Links & Bushings"
33593,Tie Rods & Steering Linkages,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Steering & Suspension|Tie Rods & Steering Linkages
33596,ECUs & Computer Modules,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Starters, Alternators, ECUs & Wiring|ECUs & Computer Modules"
33600,Fan & Shroud Assemblies,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engine Cooling Components|Fan & Shroud Assemblies
33601,Coolant Hoses,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engine Cooling Components|Coolant Hoses
33602,Radiators,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engine Cooling Components|Radiators
33603,Thermostats & Housings,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engine Cooling Components|Thermostats & Housings
33604,Water Pumps,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engine Cooling Components|Water Pumps
33606,Air Bypass Valves,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|Air Bypass Valves
33607,EGR Parts & Valves,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|EGR Parts & Valves
33610,Secondary Air & Smog Pumps,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|Secondary Air & Smog Pumps
33613,Engine Blocks,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Engine Blocks
33614,Camshafts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Valvetrain Components|Camshafts
33615,Engines,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Engines
33616,Crankshafts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Crankshafts
33617,Cylinder Heads,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Cylinder Heads
33619,Engine Bearings,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Engine Bearings
33620,Engine Rebuild Kits,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Engine Rebuild Kits
33621,Valves,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Valvetrain Components|Valves
33622,"Oil Drain Plugs, Filler Caps & Dipsticks","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Oil Drain Plugs, Filler Caps & Dipsticks"
33623,Pistons & Rings,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Pistons & Rings
33624,Rocker Arms & Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Valvetrain Components|Rocker Arms & Parts
33626,Vacuum Pumps,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Vacuum Pumps
