sub_category_id,sub_category_name,belongs_to_categories
101,ABS Components,Brake
102,A/C Accumulator / Receiver Drier,HVAC
103,A/C Clutch and Compressor,Engine;HVAC
104,A/C Condenser and Evaporator,"HVAC;Vehicles, Equipment, Tools, and Supplies"
106,Aero Ground Effects and Body Kits,Body
107,Air Bag System,"Electrical, Lighting and Body;Suspension;Vehicles, Equipment, Tools, and Supplies"
108,Air Injection System,"Air and Fuel Delivery;Emission Control;Vehicles, Equipment, Tools, and Supplies"
109,Air Tools,Hardware and Service Supplies
110,Alternator / Generator and Related Components,"Electrical, Charging and Starting;HVAC"
111,Anti-Theft System,"Body;Brake;Electrical, Lighting and Body;Entertainment and Telematics"
112,Appearance Products,"Body;Driveline and Axles;Electrical, Charging and Starting;Engine;Suspension;Transmission"
115,Axle Shaft,"Driveline and Axles;Vehicles, Equipment, Tools, and Supplies"
116,Battery and Related Components,"Accessories;Air and Fuel Delivery;Body;Electrical, Charging and Starting;Electrical, Lighting and Body;Entertainment and Telematics;Vehicles, Equipment, Tools, and Supplies"
118,Body Wiring Harness and Components,"Air and Fuel Delivery;Body;Brake;Electrical, Lighting and Body;Engine;HVAC"
119,"Body and Frame Equipment, Tools and Supplies","Body;Vehicles, Equipment, Tools, and Supplies"
120,"Brackets, Flanges and Hangers","Accessories;Air and Fuel Delivery;Belts and Cooling;Body;Brake;Driveline and Axles;Electrical, Charging and Starting;Electrical, Lighting and Body;Emission Control;Engine;Entertainment and Telematics;Exhaust;HVAC;Hardware and Service Supplies;Household, Shop and Office Products;Ignition;Multifunction Terms;Plumbing;Steering;Suspension;Tire and Wheel;Transfer Case;Transmission;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
122,Brake Hydraulics,Brake
123,Bumper,Body;HVAC
125,Carburetion,Air and Fuel Delivery
126,Catalytic Converter,"Electrical, Lighting and Body;Exhaust"
127,Clamps,"Air and Fuel Delivery;Belts and Cooling;Brake;Electrical, Charging and Starting;Emission Control;HVAC;Hardware and Service Supplies;Steering;Transmission"
128,Clutch Plates,Transmission
129,Console,"Body;Electrical, Lighting and Body"
130,Control Cables,"Air and Fuel Delivery;Body;Brake;Driveline and Axles;Electrical, Charging and Starting;Electrical, Lighting and Body;Hardware and Service Supplies;Transfer Case;Transmission"
131,Control Modules,"Air and Fuel Delivery;Belts and Cooling;Body;Brake;Driveline and Axles;Electrical, Charging and Starting;Electrical, Lighting and Body;Emission Control;Engine;Entertainment and Telematics;Exhaust;HVAC;Household, Shop and Office Products;Ignition;Steering;Suspension;Tire and Wheel;Transfer Case;Transmission;Wiper and Washer"
132,"Cooling Fan, Clutch and Motor","Air and Fuel Delivery;Belts and Cooling;Electrical, Lighting and Body;HVAC;Transmission;Vehicles, Equipment, Tools, and Supplies"
133,Cowl,Body
134,Crankcase Ventilation System,Emission Control
135,Cruise Control System,"Electrical, Lighting and Body"
136,Cylinder Block Components,"Accessories;Air and Fuel Delivery;Engine;HVAC;Vehicles, Equipment, Tools, and Supplies"
137,Differential,"Driveline and Axles;Suspension;Vehicles, Equipment, Tools, and Supplies"
138,Disc Pads and Brake Shoes,"Brake;Vehicles, Equipment, Tools, and Supplies"
139,Doors,"Body;Electrical, Lighting and Body;HVAC;Hardware and Service Supplies;Vehicles, Equipment, Tools, and Supplies"
140,Drive Shaft,"Driveline and Axles;Vehicles, Equipment, Tools, and Supplies"
141,Drums and Rotors,Brake
142,EGR and Related Components,"Emission Control;Vehicles, Equipment, Tools, and Supplies"
143,Electrical Connectors,"Accessories;Air and Fuel Delivery;Belts and Cooling;Body;Brake;Driveline and Axles;Electrical, Charging and Starting;Electrical, Lighting and Body;Emission Control;Engine;Entertainment and Telematics;Exhaust;HVAC;Hardware and Service Supplies;Ignition;Multifunction Terms;Steering;Suspension;Tire and Wheel;Transfer Case;Transmission;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
144,Electrical Sockets,"Brake;Electrical, Charging and Starting;Electrical, Lighting and Body;Emission Control;Engine;Entertainment and Telematics;HVAC;Ignition;Transmission;Wiper and Washer"
145,Electronic Accessories,"Electrical, Lighting and Body;Entertainment and Telematics"
147,Engine Service,"Body;Electrical, Lighting and Body;Emission Control;Engine;Vehicles, Equipment, Tools, and Supplies"
148,Evaporative System,Emission Control
149,Exhaust and Tail Pipes,Exhaust
150,Exhaust Manifolds,"Exhaust;Vehicles, Equipment, Tools, and Supplies"
151,Exhaust System Service,"Exhaust;Vehicles, Equipment, Tools, and Supplies"
152,Fenders,"Body;Electrical, Lighting and Body"
153,Filters,"Air and Fuel Delivery;Belts and Cooling;Brake;Driveline and Axles;Emission Control;Engine;HVAC;Steering;Transmission;Vehicles, Equipment, Tools, and Supplies"
154,"Flasher Units, Fuses, and Circuit Breakers","Electrical, Charging and Starting;Electrical, Lighting and Body;Multifunction Terms"
155,Flexplate,Transmission
