sub_id,sub_name,primary_ebay_id,primary_ebay_name,fallback_ebay_ids,confidence,note
101,ABS Components,33560,Additional ABS Parts,262084;262085;262086,high,ABS 拆件多: 液压单元 262084 / 模块 262085 / 轮速传感器 262086
102,A/C Accumulator / Receiver Drier,262076,A/C Receiver Dryers & Accumulators,,high,同名匹配
103,A/C Clutch and Compressor,33543,A/C Compressors & Clutches,,high,同名匹配
104,A/C Condenser and Evaporator,61864,A/C Condensers,33547,high,eBay 冷凝器/蒸发器分两类; 主推冷凝器 fallback 蒸发器
106,Aero Ground Effects and Body Kits,33638,Spoilers & Wings,38658;14769,medium,eBay 真正的 Body Kits(36475) 在 Performance & Racing 子树不在 Car&Truck; 就近选 Spoilers
107,Air Bag System,177710,Airbags,177711,high,气囊本体 + 气囊零件
108,Air Injection System,33610,Secondary Air & Smog Pumps,46097,high,二次空气喷射泵
109,Air Tools,,,,none,工具类 - eBay Car&Truck Parts 无对应; 走自由文本
110,Alternator / Generator and Related Components,177697,Alternators & Generators,177698;33577,high,发电机本体 + 零件 + 调节器
111,Anti-Theft System,9886,Other Car & Truck Parts & Accessories,,low,防盗在 eBay 属 In-Car Technology(38635) 子树 - 不在我们的 Car&Truck leaf 里; 兜底 Other
112,Appearance Products,14769,Other Exterior Parts & Accessories,,low,外观化学品/装饰 - 无准确类目
115,Axle Shaft,262238,Axles,33728;262243,high,半轴/桥轴
116,Battery and Related Components,179846,Batteries,33575,high,常规 12V 电瓶在 Starters/Alternators 分支下 179846; 注意 177703 是 EV 高压电池不要混
118,Body Wiring Harness and Components,179847,"Wiring Harnesses, Cables & Connectors",262210,high,车身线束
119,"Body and Frame Equipment, Tools and Supplies",,,,none,钣金工具/耗材 - 非零件
120,"Brackets, Flanges and Hangers",262164,"Mounts, Brackets & Hardware",262127;33634,medium,通用支架 - 按外观件支架为主; 发动机支架 262127 / 排气吊耳 33634
122,Brake Hydraulics,33566,Master Cylinders,33571;33561;262091,medium,制动液压覆盖总泵/分泵/管路/储液罐; 主推总泵
123,Bumper,262146,Bumper Inserts & Covers,33640;38658,high,保险杠皮 262146 / 加强杠 33640 / air dam 38658
125,Carburetion,33550,Carburetors,33551,high,化油器本体 + 零件
126,Catalytic Converter,33629,Catalytic Converters,46097,high,同名匹配
127,Clamps,33634,"Clamps, Flanges, Hangers & Hardware",262118,medium,通用卡箍 - 排气类为主; 冷却卡箍 262118
128,Clutch Plates,262241,Clutch Kits,262242,high,离合器片一般随套件卖
129,Console,262188,Center & Overhead Consoles,262189,high,中控台/顶置台
130,Control Cables,61259,Throttle Cables & Linkages,33568;61265;33736,low,控制拉线跨系统: 油门/刹车/离合/换挡 - 需按上下文细分
131,Control Modules,33596,ECUs & Computer Modules,262085;262259;177705,high,ECU/BCM 通用模块
132,"Cooling Fan, Clutch and Motor",33600,Fan & Shroud Assemblies,262120;262121;262119,high,风扇总成 + 离合 + 电机 + 叶片
133,Cowl,262168,Additional Panels,14769,medium,雨刮盖板/前围板 - eBay 无独立类目
134,Crankcase Ventilation System,262143,Emissions Hardware & Components,46097,medium,PCV 系统归排放硬件
135,Cruise Control System,38728,Cruise Control Components,,high,同名匹配
136,Cylinder Block Components,33613,Engine Blocks,262124;33623,high,缸体 + 连杆 + 活塞
137,Differential,262245,Differential Assemblies,262249;262246,high,差速器总成 + 零件
138,Disc Pads and Brake Shoes,57357,Brake Pads,61739,high,刹车片 57357 / 刹车蹄 61739 分开两类
139,Doors,179850,Doors & Door Skins,179851;262148;262150,high,车门本体 + 门把手 + 门封条 + 铰链锁
140,Drive Shaft,262251,Driveshafts,262252;262253,high,传动轴 + 万向节
141,Drums and Rotors,33564,Brake Disc Rotors,33565,high,盘 33564 / 鼓 33565
142,EGR and Related Components,33607,EGR Parts & Valves,,high,同名匹配
143,Electrical Connectors,179847,"Wiring Harnesses, Cables & Connectors",262210,medium,通用电气插件 - 归线束类
144,Electrical Sockets,262210,"Sockets, Connectors & Wiring",179847,medium,灯座类为主
145,Electronic Accessories,9886,Other Car & Truck Parts & Accessories,,low,泛电子配件 - 无准确类目
147,Engine Service,,,,none,保养服务类 - 非零件
148,Evaporative System,261899,Fuel Vapor Canisters,46097,high,碳罐/EVAP
149,Exhaust and Tail Pipes,33633,Exhaust Pipes & Tips,,high,排气管/尾喉
150,Exhaust Manifolds,33632,Manifolds & Headers,,high,排气歧管
151,Exhaust System Service,,,,none,服务类 - 非零件
152,Fenders,33644,Fenders,262168,high,同名匹配
153,Filters,33659,Air Filters,33661;33660;61117;33662,medium,滤芯跨系统: 空气/机油/燃油/空调/变速箱 - 需按上下文细分
154,"Flasher Units, Fuses, and Circuit Breakers",262221,Fuses & Fuse Boxes,262222,high,保险丝 + 继电器
155,Flexplate,33732,Flywheels & Flexplates,,high,同名匹配
156,Floor,262168,Additional Panels,33697,medium,地板钣金 262168; 脚垫是 33697 别混
157,Flywheel,33732,Flywheels & Flexplates,,high,同名匹配
158,Frame,262152,Frame Rails & Subframes,,high,车架纵梁/副车架
159,Front Panel,262168,Additional Panels,14769,medium,前脸板/水箱框架 - eBay 无独立类目
160,Fuel Injection System and Related Components,33554,Fuel Injectors,33553;262071;33558,high,喷油嘴 + 高压泵 + 节气门
161,Fuel Pumps and Related Components,33555,Fuel Pumps & Sending Units,262071,high,燃油泵 + 油浮子
162,Fuel Storage,33556,Fuel Tanks & Filler Necks,262072;262167,high,油箱 + 油箱盖 + 加油口小门
163,Fuel System Service,,,,none,服务类 - 非零件
164,"Functional Fluid, Lubricant, Grease (including Additives)",,,,none,油液化学品 - 不在 Car&Truck Parts 子树
165,Gaskets and Sealing Systems,33665,Gaskets & Seals,262128;33666;262122;262260,medium,垫片跨系统: 发动机/排气/冷却/变速箱 - 需按上下文细分
166,"Glass, Windows and Related Components",33684,Auto Glass,33685;6781,high,玻璃 + 密封条
167,Glove Box,33698,"Glove Boxes, Doors & Latches",,high,同名匹配
169,Grille,33645,Grilles,262154,high,同名匹配
170,Hand Tools,,,,none,工具类 - 非零件
171,Heater Control Valve and Related Components,262080,Heater Control Valves,,high,同名匹配
173,Heater Switches and Electrical Components,33545,HVAC Controls & Control Units,262082,high,空调控制面板
174,"Hoist, Lift and Support",262158,Lift Supports & Prop Rods,262150,medium,如果指引擎盖撑杆选 262158; 如果指举升机则无对应(工具)
175,Hood,33646,Hood Panels,262156;262157;262158,high,机盖板 + 铰链锁 + 通风口 + 撑杆
